short_column_name,long_column_name,original_question,original_response_option
respondent_id,respondent_id,Respondent ID,
start_date,start_date,Start Date,
end_date,end_date,End Date,
dbt_used_at_org,does_your_organization_use_dbt_core_or_dbt_cloud_today_response,Does your organization use dbt Core or dbt Cloud today?,Response
personal_dbt_experience,how_long_have_you_personally_been_using_dbt_including_current_and_any_prior_job_experience_response,How long have you personally been using dbt (including current and any prior job experience)?,Response
job_title,what_is_your_job_title_or_the_closest_match_response,What is your job title (or the closest match)?,Response
base_salary_usd,what_is_your_annual_salary_before_taxes_deductions_bonuses_and_stock_options_please_convert_the_amount_to_usd_if_you_are_paid_in_a_different_currency_response,"What is your annual salary (before taxes, deductions, bonuses, and stock options)?Please convert the amount to USD, if you are paid in a different currency.",Response
company_headquarters,where_is_your_company_headquartered_response,Where is your company headquartered?,Response
company_industry,what_best_describes_your_company_industry_response,What best describes your company industry?,Response
organization_size,approximately_how_many_people_work_at_your_organization_response,Approximately how many people work at your organization?,Response
org_data_infrastructure_proportion,as_a_percentage_of_your_company_how_many_people_are_responsible_for_data_infrastructure_maintaining_the_platforms_for_hosting_moving_and_accessing_data_response,"As a percentage of your company, how many people are responsible for data infrastructure (maintaining the platforms for hosting, moving, and accessing data)?",Response
org_data_analysis_proportion,as_a_percentage_of_your_company_how_many_people_are_responsible_for_data_analysis_building_and_analyzing_data_sets_and_reports_response,"As a percentage of your company, how many people are responsible for data analysis (building and analyzing data sets and reports)?",Response
time_spent_multiselect_platform,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_maintain_platforms_for_hosting_moving_accessing_data,Which of the following best describes how you spend most of your time? Select all that apply.,"Build / maintain platforms for hosting, moving, accessing data"
time_spent_multiselect_datasets,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_maintain_data_sets_to_ease_analysis,Which of the following best describes how you spend most of your time? Select all that apply.,Build / maintain data sets to ease analysis
time_spent_multiselect_reports_dashboards,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_analyze_reports_dashboards,Which of the following best describes how you spend most of your time? Select all that apply.,Build / analyze reports & dashboards
time_spent_multiselect_ml_models,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_use_machine_learning_models,Which of the following best describes how you spend most of your time? Select all that apply.,Build / use machine learning models
time_spent_multiselect_mentorship_direct_reports,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_mentor_enable_direct_reports_who_do_a_combination_of_work_described_above,Which of the following best describes how you spend most of your time? Select all that apply.,Mentor / enable direct reports who do a combination of work described above
time_spent_multiselect_other_free_text,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_other_please_specify,Which of the following best describes how you spend most of your time? Select all that apply.,Other (please specify)
rate_org_marketing_analytics,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_marketing_analytics,Please rate how you think your organization is doing across the following areas:,Marketing analytics
rate_org_product_analytics,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_product_analytics,Please rate how you think your organization is doing across the following areas:,Product analytics
rate_org_financial_analytics,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_financial_analytics,Please rate how you think your organization is doing across the following areas:,Financial analytics
rate_org_data_quality_transparency,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_data_quality_transparency,Please rate how you think your organization is doing across the following areas:,Data quality / transparency
rate_org_cross_team_alignment_data_ownership,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_cross_team_alignment_on_data_ownership,Please rate how you think your organization is doing across the following areas:,Cross-team alignment on data ownership
rate_org_data_team_productivity_agility,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_data_team_productivity_agility,Please rate how you think your organization is doing across the following areas:,Data team productivity & agility
rate_org_enabling_self_service,please_rate_how_you_think_your_organization_is_doing_across_the_following_areas_enabling_self_service_analytics,Please rate how you think your organization is doing across the following areas:,Enabling self-service analytics
how_do_you_distribute_data_team_work,which_of_the_following_best_describes_how_you_distribute_work_within_your_data_team_response,Which of the following best describes how you distribute work within your data team?,Response
how_do_you_distribute_data_team_work_other_free_text,which_of_the_following_best_describes_how_you_distribute_work_within_your_data_team_strong_other_strong_please_describe,Which of the following best describes how you distribute work within your data team?,<strong>Other</strong> (please describe)
how_is_your_team_measured,how_is_your_team_primarily_measured_which_of_these_best_describes_how_you_gauge_success_response,How is your team primarily measured? Which of these best describes how you gauge success?,Response
how_is_your_team_measured_other_free_text,how_is_your_team_primarily_measured_which_of_these_best_describes_how_you_gauge_success_strong_other_strong_please_describe,How is your team primarily measured? Which of these best describes how you gauge success?,<strong>Other</strong> (please describe)
agreement_org_sets_clear_goals_responsibilities_roadmap,do_you_agree_with_the_following_statement_my_organization_sets_clear_goals_for_the_data_team_we_know_our_responsibilities_and_have_a_roadmap_on_how_to_execute_response,Do you agree with the following statement?My organization sets clear goals for the data team. We know our responsibilities and have a roadmap on how to execute.,Response
agreement_org_values_data_team,do_you_agree_with_the_following_statement_my_organization_values_the_data_team_we_are_well_funded_respected_and_included_in_meetings_and_decisions_that_impact_our_work_response,"Do you agree with the following statement?My organization values the data team. We are well-funded, respected, and included in meetings and decisions that impact our work.",Response
economic_impact_multiselect_reduced_headcount,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_reduced_headcount_open_or_existing,How have the economic conditions in 2022 affected your data team? Select all that apply.,Reduced headcount (open or existing)
economic_impact_multiselect_downgraded_open_headcount,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_downgraded_level_salary_of_open_headcount,How have the economic conditions in 2022 affected your data team? Select all that apply.,Downgraded level / salary of open headcount
economic_impact_multiselect_reduced_tooling_budget,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_reduced_budget_for_tooling_new_or_existing,How have the economic conditions in 2022 affected your data team? Select all that apply.,Reduced budget for tooling (new or existing)
economic_impact_multiselect_increased_headcount,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_increased_open_headcount,How have the economic conditions in 2022 affected your data team? Select all that apply.,Increased open headcount
economic_impact_multiselect_upgraded_open_headcount,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_increased_level_salary_for_open_headcount,How have the economic conditions in 2022 affected your data team? Select all that apply.,Increased level / salary for open headcount
economic_impact_multiselect_increased_tooling_budget,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_increased_budget_for_tooling_new_or_existing,How have the economic conditions in 2022 affected your data team? Select all that apply.,Increased budget for tooling (new or existing)
economic_impact_multiselect_no_change,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_no_change,How have the economic conditions in 2022 affected your data team? Select all that apply.,No change
economic_impact_multiselect_not_sure,how_have_the_economic_conditions_in_2022_affected_your_data_team_select_all_that_apply_not_sure,How have the economic conditions in 2022 affected your data team? Select all that apply.,Not sure
investment_plan_next_12m_data_warehouse_lakehouse,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_data_warehouse_lakehouse,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Data warehouse / lakehouse
investment_plan_next_12m_extract_load,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_data_extraction_and_loading,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Data extraction and loading
investment_plan_next_12m_transform_model,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_data_transformation_and_modeling,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Data transformation and modeling
investment_plan_next_12m_reverse_etl,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_reverse_etl,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Reverse ETL
investment_plan_next_12m_data_quality_observability,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_data_quality_and_observability,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Data quality and observability
investment_plan_next_12m_data_orchestration,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_data_orchestration,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Data orchestration
investment_plan_next_12m_bi_tools,how_is_your_team_thinking_about_investment_in_the_following_areas_of_the_modern_data_stack_over_the_next_12_months_business_intelligence_tools,How is your team thinking about investment in the following areas of the modern data stack over the next 12 months:,Business intelligence tools
data_prep_challenge_multiselect_poor_source_quality,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_source_data_quality_is_poor,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Source data quality is poor
data_prep_challenge_multiselect_input_data_inconsistent,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_input_data_is_hard_to_collect_in_a_consistent_way,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Input data is hard to collect in a consistent way
data_prep_challenge_multiselect_ambiguous_quality_ownership,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_data_ownership_is_ambiguous_teams_disagree_on_how_where_to_address_data_quality_issues,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Data ownership is ambiguous — teams disagree on how/where to address data quality issues
data_prep_challenge_multiselect_transform_slow_build_update,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_transformations_are_too_time_consuming_to_build_and_update,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Transformations are too time-consuming to build and update
data_prep_challenge_multiselect_transform_location_reuse,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_transformations_are_hard_to_locate_and_re_use,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Transformations are hard to locate and re-use.
data_prep_challenge_multiselect_docs_dependency_mgmt,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_managing_data_documentation_and_dependencies_are_too_time_consuming,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Managing data documentation and dependencies are too time-consuming
data_prep_challenge_multiselect_stakeholders_dont_use_trust,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_stakeholders_don_t_use_don_t_trust_data_provided,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Stakeholders don’t use / don’t trust data provided
data_prep_challenge_multiselect_data_not_where_org_needs,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_data_isn_t_where_business_users_need_it_to_be_to_inform_quick_decisions,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Data isn’t where business users need it to be to inform quick decisions
data_prep_challenge_multiselect_none_of_above,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_none_of_the_above,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,None of the above
data_prep_challenge_multiselect_other_free_text,what_does_your_team_find_most_challenging_about_the_process_of_preparing_data_for_analysis_select_your_top_three_other_please_specify,What does your team find most challenging about the process of preparing data for analysis? Select your top three.,Other (please specify)
biggest_mds_problem_multiselect_metadata_across_tools,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_no_effective_way_to_share_metadata_across_tools,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",No effective way to share metadata across tools
biggest_mds_problem_multiselect_team_tool_collab_clarity,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_no_clear_understanding_of_how_teams_should_collaborate_in_a_given_tool,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",No clear understanding of how teams should collaborate in a given tool
biggest_mds_problem_multiselect_producer_consumer_handoff,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_coordination_and_handoffs_between_data_producers_and_data_consumers,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",Coordination and handoffs between data producers and data consumers
biggest_mds_problem_multiselect_tools_learning_curve,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_learning_curve_to_set_up_and_maintain_tools,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",Learning curve to set up and maintain tools
biggest_mds_problem_multiselect_best_practice_across_tools,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_implementing_best_practices_across_all_the_different_tools,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",Implementing best practices across all the different tools
biggest_mds_problem_multiselect_other_free_text,what_are_the_biggest_problems_still_facing_the_modern_data_stack_the_tech_and_tools_used_to_collect_process_and_store_data_today_select_all_that_apply_other_please_specify,"What are the biggest problems still facing the modern data stack — the tech and tools used to collect, process, and store data — today? Select all that apply",Other (please specify)
